time,step-size,{fmu1}.Steering_control.delta_f,{fmu1}.Steering_control.speed,{fmu2}.vehicle.delta_f,{fmu2}.vehicle.theta,{fmu2}.vehicle.w_o,{fmu2}.vehicle.x,{fmu2}.vehicle.y
39.20000000000029,0.1,0.16753533957546407,1.0,0.15279711984509387,0.057362450927432196,38.800833333332875,11.25089604701792,0.061127079410978724
39.30000000000029,0.1,0.16783026035535917,1.0,0.1585959677981638,0.06037510811198786,38.90083333333264,11.27974847044389,0.0644847138792085
39.40000000000029,0.1,0.20506412896983672,1.0,0.1622292297332382,0.06347818834822008,39.00083333333241,11.308587415035408,0.06798016886234648
39.50000000000029,0.1,0.2059175064307731,1.0,0.17906462970818932,0.06678376577042938,39.100833333332176,11.337407792420667,0.07167866600665662
39.60000000000029,0.1,0.20659439799642182,1.0,0.18962998206400894,0.07035211379223372,39.20083333333194,11.366205388029847,0.07562031990321202
39.700000000000294,0.1,0.20699742107643943,1.0,0.19630461747969932,0.07408576087752645,39.30083333333171,11.394981843061881,0.07975771217050252
39.800000000000296,0.1,0.22873165871344045,1.0,0.20051170415183736,0.07792373939899569,39.40083333333148,11.423738072930135,0.08406120060035731
39.9000000000003,0.1,0.22916838951665805,1.0,0.2116044056549577,0.08191203485631167,39.500833333331244,11.452470664394209,0.08855930089274948
40.0000000000003,0.1,0.22950692023651534,1.0,0.21851507405562826,0.08607295304586246,39.60083333333101,11.481176725964822,0.09326900571360007
40.1000000000003,0.1,0.25944319189528153,1.0,0.2228398574132291,0.09034158021696728,39.70083333333078,11.509857465492937,0.09815863433720055
40.2000000000003,0.1,0.26002476933537777,1.0,0.237227016228802,0.09479462250142302,39.800833333330544,11.538507268725827,0.10327388575476079
40.3000000000003,0.1,0.2604758498788944,1.0,0.24619693914985727,0.09947162760105269,39.90083333333031,11.567121478739736,0.10864241874023861
40.400000000000304,0.1,0.2982823142475769,1.0,0.2518150247392636,0.10428848307599584,40.00083333333008,11.595702062375961,0.11422319604745783
40.500000000000306,0.1,0.2990592926678949,1.0,0.2700793695040226,0.10934064248110324,40.100833333329845,11.624241013253002,0.1200731148931267
40.60000000000031,0.1,0.29965441397164555,1.0,0.28148168803515333,0.1146772710895547,40.20083333332961,11.652731708137681,0.12622660935043867
40.70000000000031,0.1,0.299989743828806,1.0,0.2886317977211515,0.12019175941102575,40.30083333332938,11.681177140470734,0.132631684263087
40.80000000000031,0.1,0.32928381337822127,1.0,0.2931006317932673,0.1258176308905436,40.400833333329146,11.709578940608417,0.13925586894772968
40.90000000000031,0.1,0.32974469629342723,1.0,0.30732279792165385,0.1316276067724794,40.50083333332891,11.737929449513377,0.14614237587420328
41.00000000000031,0.1,0.33010810610638036,1.0,0.31614489453227035,0.13765852602495537,40.60083333332868,11.766222381782338,0.1533169788888206
41.100000000000314,0.1,0.3588075768019438,1.0,0.32163880649594667,0.1438266742309115,40.70083333332845,11.794460442479778,0.16073870907725477
41.200000000000315,0.1,0.3591944799323732,1.0,0.3362490721035546,0.15019236504805683,40.800833333328214,11.822635576464613,0.168444350895436
41.30000000000032,0.1,0.3594740262906326,1.0,0.34527719102737425,0.15678467755753173,40.90083333332798,11.850741142689852,0.1764555029565933
41.40000000000032,0.1,0.39619059763985087,1.0,0.350863069138025,0.16351705957775983,41.00083333332775,11.87878043181346,0.18472973578012658
41.50000000000032,0.1,0.3966829020841337,1.0,0.36867950376941594,0.1704799582030158,41.100833333327515,11.906741408158219,0.1933203128969598
41.60000000000032,0.1,0.3970392117140739,1.0,0.3796977335986212,0.17771930299743008,41.20083333332728,11.934614345648017,0.20225891248786718
41.70000000000032,0.1,0.39719132534187873,1.0,0.3865208934583617,0.1851296532368285,41.30083333332705,11.962404098278013,0.21149389399825202
41.800000000000324,0.1,0.4158436429526391,1.0,0.3907193043674853,0.19264563106510008,41.400833333326815,11.9901132510146,0.22099304716082172
41.900000000000325,0.1,0.4158025147589382,1.0,0.4005955336270466,0.2002996586047918,41.50083333332658,12.017734781615365,0.23077631540844237
42.00000000000033,0.1,0.415759199292834,1.0,0.40657903524867556,0.20810568072443378,41.60083333332635,12.045262913949173,0.24085463386580017
42.10000000000033,0.1,0.44318909111015925,1.0,0.41019117023231094,0.21600363371690057,41.700833333326116,12.07270042547927,0.25119819458900483
42.20000000000033,0.1,0.44322781123462107,1.0,0.4231609761657493,0.22406516326527004,41.80083333332588,12.10003496518988,0.2618478102031365
42.30000000000033,0.1,0.44323938721414335,1.0,0.4310566409511364,0.23232668372006707,41.90083333332565,12.127256800460902,0.2728272639854532
42.40000000000033,0.1,0.44317579246033934,1.0,0.43585017223512196,0.24070978487976954,42.00083333332542,12.154370656420882,0.28409785773347473
42.500000000000334,0.1,0.47269672264843465,1.0,0.43873261133579533,0.24916642072250905,42.100833333325184,12.181378851255825,0.2956355618383573
42.600000000000335,0.1,0.47275837195457165,1.0,0.45208152668314383,0.2577836323438726,42.20083333332495,12.208265513410133,0.30748852850127123
42.70000000000034,0.1,0.47281521003892985,1.0,0.46021720019112206,0.26660677581213243,42.30083333332472,12.235018443254218,0.31968484919064816
42.80000000000034,0.1,0.4962156104475304,1.0,0.4651741020864857,0.27555537268409874,42.400833333324485,12.2616434741419,0.3321848530030615
42.90000000000034,0.1,0.4961143605197346,1.0,0.47737615635265784,0.2846723843708464,42.50083333332425,12.288128986347145,0.34501355305828646
43.00000000000034,0.1,0.4960001859947971,1.0,0.4847491163604051,0.2939769889898514,42.60083333332402,12.314465784065682,0.3581845092245642
43.10000000000034,0.1,0.4958528497312293,1.0,0.4891761250155829,0.303394632495841,42.700833333323786,12.340659846296825,0.37166081575081134
43.200000000000344,0.1,0.5076943663497664,1.0,0.4918032859546848,0.31287983838731714,42.80083333332355,12.366714104094063,0.3854194801357192
43.300000000000345,0.1,0.5072129634022211,1.0,0.4980499536718229,0.3224520957294283,42.90083333332332,12.392621172284528,0.3994711086110218
43.40000000000035,0.1,0.5068358866248619,1.0,0.5016555603868447,0.33211869661224147,43.00083333332309,12.418375196737925,0.41382041516074297
43.50000000000035,0.1,0.5276345618544854,1.0,0.5036940505247024,0.3418393093305026,43.10083333332285,12.443979097186123,0.42844671797587197
43.60000000000035,0.1,0.5271871637156771,1.0,0.5131033951953399,0.35167317015807165,43.20083333332262,12.469417693666434,0.44338097433600576
43.70000000000035,0.1,0.5268099898853449,1.0,0.5186451524376786,0.3616502553303569,43.30083333332239,12.494679614867762,0.45864026882817877
43.80000000000035,0.1,0.5264706858487037,1.0,0.5218579562813273,0.37171115460491033,43.400833333322154,12.51977086609702,0.4741949067344568
43.900000000000354,0.1,0.5346995069610253,1.0,0.5236730954397025,0.38182016890370035,43.50083333332192,12.544694242432934,0.4900263911578625
44.000000000000355,0.1,0.5338999649960711,1.0,0.5280074911131789,0.3919895128914858,43.60083333332169,12.569443343179929,0.5061403838404357
44.10000000000036,0.1,0.533241028013362,1.0,0.5303264030467905,0.4022224869692407,43.700833333321455,12.594013242690938,0.5225382724634198
44.20000000000036,0.1,0.5327329300282413,1.0,0.531473551664133,0.4124885554528182,43.80083333332122,12.618406572862035,0.5392038353175915
44.30000000000036,0.1,0.5383654316604403,1.0,0.5319693352523975,0.42277027664531125,43.90083333332099,12.642623905844845,0.5561269986743742
44.40000000000036,0.1,0.5375634483496885,1.0,0.5344831561823955,0.43308179766924787,44.000833333320756,12.666658935231053,0.5733134615739577
44.50000000000036,0.1,0.5369553268866467,1.0,0.5356955620655655,0.44342889691203186,44.10083333332052,12.690506855467358,0.5907649892231494
44.600000000000364,0.1,0.5444557320415158,1.0,0.5361915482688888,0.45379225856482364,44.20083333332029,12.714168905206428,0.6084705884483118
44.700000000000365,0.1,0.5435226347340303,1.0,0.5394394601845389,0.4641927753702729,44.30083333332006,12.737636853329695,0.626439119173306
44.80000000000037,0.1,0.5427633422831739,1.0,0.5410465358075657,0.4746396674195977,44.400833333319824,12.760904691012732,0.6446740411492717
44.90000000000037,0.1,0.5421807230820967,1.0,0.541722430297377,0.48510830084291173,44.50083333331959,12.783975041352674,0.6631618999295102
45.00000000000037,0.1,0.5453303299614631,1.0,0.541903048937376,0.4955850390668431,44.60083333331936,12.806848411227914,0.6818942848511584
45.10000000000037,0.1,0.5443288534205906,1.0,0.543249986996632,0.5060769515522666,44.700833333319125,12.82952014328765,0.7008727322490141
45.20000000000037,0.1,0.5435347551474731,1.0,0.5436749940452406,0.5165856775440498,44.80083333331889,12.851986819632872,0.7200962615125387
45.300000000000374,0.1,0.5433519736378107,1.0,0.5436202157094405,0.5270978122855128,44.90083333331866,12.874249272750417,0.7395564909600727
45.400000000000375,0.1,0.5420751337946017,1.0,0.54351476306397,0.5376083785613684,45.000833333318425,12.896306383301152,0.7592489080380505
45.50000000000038,0.1,0.5410125115223702,1.0,0.5429489584538495,0.5481122940873518,45.10083333331819,12.918157248335202,0.7791688754458787
45.60000000000038,0.1,0.5401891792906154,1.0,0.542187563051373,0.5586033081540136,45.20083333331796,12.939801525580135,0.799311096027623
45.70000000000038,0.1,0.5403733247307521,1.0,0.5414016764582539,0.569079353622386,45.300833333317726,12.96123784890993,0.8196721669578161
45.80000000000038,0.1,0.5392626510834103,1.0,0.5409969585075739,0.5795440211451443,45.40083333331749,12.982463213023582,0.8402513104058061
45.90000000000038,0.1,0.5383934109735707,1.0,0.5403151230908799,0.5899980882189796,45.50083333331726,13.00347538499619,0.8610464800167813
46.000000000000384,0.1,0.5317779381801256,1.0,0.5395594276425059,0.6004382302661793,45.60083333331703,13.024273451961758,0.882053696776342
46.100000000000385,0.1,0.5303274181101494,1.0,0.5365009938564992,0.610840692322157,45.700833333316794,13.044863220239069,0.9032595457838992
46.20000000000039,0.1,0.5291341211463128,1.0,0.5340726142344501,0.6211903191116447,45.80083333331656,13.065248626462699,0.9246541952986297
46.30000000000039,0.1,0.5282397265819363,1.0,0.532130071759711,0.6314978589007301,45.90083333331633,13.085425528134536,0.9462395191313767
46.40000000000039,0.1,0.5186372865113293,1.0,0.5305997922738939,0.6417719684763852,46.000833333316095,13.10539015463639,0.9680165644294412
46.50000000000039,0.1,0.5171605869890294,1.0,0.5258977665018744,0.6519847169309517,46.10083333331586,13.125150930238789,0.9899701426927636
46.60000000000039,0.1,0.5159727875205008,1.0,0.5224607006292684,0.662119206190091,46.20083333331563,13.144713610578254,1.012089566662125
46.700000000000394,0.1,0.5151198302283778,1.0,0.5199085061025199,0.6721961035894339,46.300833333315396,13.164071346243038,1.034380692167629
46.800000000000395,0.1,0.5028789521952135,1.0,0.5180247400860987,0.6822303497978317,46.40083333331516,13.18321864400611,1.0568470761935977
46.9000000000004,0.1,0.5014156337572739,1.0,0.5120715239730227,0.6921874079992794,46.50083333331493,13.202167252426882,1.0794710344443672
47.0000000000004,0.1,0.5002618562574619,1.0,0.5078794975025813,0.7020469814220102,46.6008333333147,13.220925169459585,1.1022405501181576
47.1000000000004,0.1,0.48657455242009984,1.0,0.504882772395181,0.7118374761975188,46.70083333331446,13.23948313110826,1.1251643980761337
47.2000000000004,0.1,0.48489643205270916,1.0,0.4976859673008949,0.7215279556402091,46.80083333331423,13.257852940320086,1.1482265854521296
47.3000000000004,0.1,0.4835403484563208,1.0,0.4926545254970985,0.7311009521563497,46.900833333314,13.276042657014296,1.1714163600548098
